Latitude,Longitude,Year,Theatre
32.6613784,73.3775471,-326,Land
17.385044,78.486671,1709,Land
25.3835549,68.2968657,1843,Land
24.8170111,93.9368439,1944,Land
24.220844,96.1434201,1944,Land
17.1751648,75.9554927,1676,Land
22.7195687,75.8577258,1801,Land
29.8378874,68.9704303,458,Land
29.8378874,68.9704303,1221,Land
20.8787527,95.8229893,1945,Land
9.6614981,80.0255465,1619,Land
25.468313,84.4225186,1857,Land
25.468313,84.4225186,1858,Land
25.468313,84.4225186,1858,Land
30.5932461,77.3309183,1814,Land
25.6226377,77.9524304,1729,Land
26.9431796,77.9410251,1707,Land
31.3260152,75.5761829,1298,Land
18.7380109,75.312064,1560,Land
32.7266016,74.8570259,1712,Land
34.0015056,71.3854062,1738,Land
34.0015053,71.3766514,1837,Land
33.3958462,71.9994067,1218,Land
25.7490034,82.6987002,1858,Land
26.2402875,78.0839204,1858,Land
27.366685,88.8412452,1888,Land
25.4411366,78.5727662,1858,Land
24.3008923,74.903339,1857,Land
27.7032998,83.4572168,1815,Land
29.2982471,68.9023327,1840,Land
29.7856734,76.3984537,1240,Land
20.1860831,85.2334302,1814,Land
29.0523112,66.5878767,1839,Land
23.1078901,79.8735827,972,Land
25.1395404,80.2718838,1631,Land
26.1209624,79.7483995,1858,Land
19.2403305,73.1305395,1780,Land
19.2403305,73.1305395,1682,Land
16.8233853,96.1121763,1824,Land
27.0514156,79.9136731,648,Land
27.0514156,79.9136731,916,Land
27.0514156,79.9136731,1540,Land
12.8341735,79.7036402,655,Land
12.8341735,79.7036402,740,Land
12.8341735,79.7036402,1692,Land
7.2905715,80.6337262,1803,Land
7.2905715,80.6337262,1815,Land
7.2905715,80.6337262,1818,Land
26.5278876,81.324715,1858,Land
25.0557755,73.8893974,1858,Land
24.8607343,67.0011364,1971,Sea
10.9254398,79.8380056,1760,Land
29.6856929,76.9904825,1739,Land
32.0879424,75.0151127,1635,Land
17.6174685,75.3271151,1774,Land
27.808529,78.6461098,1750,Land
27.808529,78.6461098,1857,Land
29.3626593,80.1723927,1815,Land
23.9569946,87.8105235,1742,Land
23.9569946,87.8105235,1745,Land
23.9569946,87.8105235,1763,Land
24.133563,97.0956921,1768,Land
21.0243001,74.8704498,1367,Land
12.9054512,79.4619506,1752,Land
16.5573782,98.2404397,1942,Land
16.8035232,96.0958933,1824,Land
25.9818441,80.5872786,1659,Land
24.9175215,79.9269656,1857,Land
21.1444515,74.0654889,752,Land
27.0459344,77.5447454,1527,Land
18.6365798,75.4767099,1795,Land
18.3792071,74.8089552,1707,Land
22.1882281,87.5136167,1701,Land
26.0648523,76.4383355,1965,Land
21.935545,77.9450483,1428,Land
28.578761,77.265195,1299,Land
30.1871558,71.4416443,1848,Land
18.5699361,73.848454,1817,Land
25.6585963,94.1053307,1944,Land
16.819022,96.150024,1824,Land
16.2544535,80.263871,1515,Land
16.2544535,80.263871,1563,Land
15.3507081,76.1554311,1677,Land
15.3507081,76.1554311,1790,Land
10.8652234,76.1865534,1054,Land
26.2519592,80.244829,1765,Land
18.6485712,74.0623244,1818,Land
25.2138156,75.8647527,1858,Land
25.2138156,75.8647527,1858,Land
16.6099914,80.7214417,1398,Land
16.2030023,76.0599413,1063,Land
10.9616945,79.3881132,1782,Land
26.0047669,79.1604971,1858,Land
29.7168223,77.0780316,1760,Land
30.6058406,75.8708242,1762,Land
17.93083,97.430099,1942,Land
31.5203696,74.3587473,1241,Land
31.5203696,74.3587473,1712,Land
31.5203696,74.3587473,1752,Land
31.5203696,74.3587473,1759,Land
31.5203696,74.3587473,1965,Land
25.6649505,76.181272,1793,Land
26.5606174,76.3281212,1787,Land
34.1203506,71.1301425,1897,Land
22.9664576,97.7525352,1942,Land
27.556789,76.9324803,1803,Land
34.1525864,77.5770535,1948,Land
30.4476434,77.4214278,1710,Land
24.4698454,96.1743163,1943,Land
27.5020964,70.074132,1971,Land
26.8466937,80.946166,1857,Land
26.8466937,80.946166,1857,Land
26.8466937,80.946166,1858,Land
30.9141349,76.192864,1560,Land
24.251611,78.6913884,1858,Land
13.0826802,80.2707184,1746,Land and sea
13.0826802,80.2707184,1758,Land
9.9252007,78.1197754,862,Land
26.3240873,80.4674159,1843,Land
27.2284986,79.0249516,1857,Land
27.4373159,84.8072878,1816,Land
34.5030413,71.9045649,1895,Land
34.5030413,71.9045649,1897,Land
34.434444,72.365833,1586,Land
12.283921,76.0963593,1780,Land
26.6069993,80.6132646,1815,Land
12.3853432,77.0535798,1799,Land
25.0072947,88.1029922,1354,Land
