Longitude,Latitude,Start
77.6708,24.0993,1631
80.4847,25.0002,1631
88.3919,22.8855,1632
75.2217,19.9461,1633
74.8723,31.634,1634
75.4956,31.4364,1635
80.602,7.28,1638
79.4113,12.2524,1648
79.843,6.936,1655
82.7407,25.641,1658
75.6386,22.9989,1658
78.2045,27.1858,1658
88.1411,25.0108,1659
81.9453,25.8973,1659
82.8506,25.4975,1659
80.91,26.8517,1659
73.8626,18.7571,1660
74.1078,16.8113,1660
73.8567,18.5204,1663
72.8311,21.1702,1664
73.9833,18.2833,1665
73.8311,20.2039,1670
73.7559,18.3663,1670
72.8311,21.1702,1670
73.9428,20.7247,1671
75.2392,16.9027,1673
74.1078,16.8113,1673
74.329,16.0598,1674
74.0124,15.3991,1675
75.9555,17.1752,1676
79.768,11.7447,1677
76.1487,15.3404,1677
79.128,12.9215,1677
74.208,19.5771,1679
75.7197,16.8268,1679
74.8761,17.2346,1679
78.7378,23.8388,1680
73.1305,19.2403,1682
75.7197,16.8268,1685
78.4011,17.3833,1687
77.7401,30.496,1688
79.4113,12.2524,1689
73.4464,18.2347,1689
74.0183,17.6805,1690
76.3445,31.7785,1691
79.7036,12.8342,1692
76.3976,14.2255,1695
79.7036,12.8342,1696
77.2401,13.1571,1696
76.1392,32.0017,1696
74.0183,17.6805,1699
76.5055,31.2344,1700
76.5055,31.2344,1701
73.7434,16.9099,1701
74.1078,16.8113,1701
75.8108,32.5038,1702
76.5055,31.2344,1702
73.4464,18.2347,1703
76.4129,30.8927,1704
76.4129,30.8927,1704
76.5055,31.2344,1704
76.5055,31.2344,1704
73.6234,18.2768,1704
76.5055,31.2344,1704
74.5112,30.4766,1705
76.6932,16.512,1705
73.5031,21.8715,1706
77.941,26.9432,1707
73.3968,17.7196,1707
78.4867,17.385,1709
76.1958,30.1554,1709
76.1175,31.0521,1710
77.301201,30.2998,1710
76.3811,30.616,1710
74.857,32.7266,1712
72.34,31.521,1712
78.0081,27.1767,1713
75.3493,31.999,1715
76.7914,20.6882,1720
77.3117,28.6331,1720
77.636,21.3446,1720
76.3996,20.2023,1724
75.1208,22.5598,1728
74.9029,19.9066,1728
